name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
vitor-costa-de-brito;SJ;29;22;2104;2;9;4;0.09;9;0;0;2.83;23;4;17.4;8.7;4;0;5
franco-escobar;HOU;24;21;1822;2;1;4;0.1;4;0;0;1.34;9;5;55.6;22.2;1;0;4
julian-fernandez;NYC;21;6;663;2;17;5;0.27;0;0;0;2.23;22;9;40.9;9.1;0;12;4
omir-fernandez;COL;33;19;1692;2;8;21;0.11;1;1;1;4.93;30;11;36.7;6.7;8;1;6
ian-fray;MIA;14;7;653;2;0;0;0.28;6;0;0;0.92;6;4;66.7;33.3;0;0;2
dennis-gjengaar;RBNY;25;9;928;2;1;14;0.19;0;0;0;2.46;15;7;46.7;13.3;3;1;3
jakob-glesnes;PHI;32;32;2810;2;1;11;0.06;11;0;0;1.71;23;5;21.7;8.7;2;0;5
diogo-goncalves-x8534;RSL;9;6;550;2;1;12;0.33;2;1;1;2.71;15;6;40;13.3;3;27;3
stian-gregersen;ATL;23;20;1765;2;0;1;0.1;12;0;0;1.94;13;6;46.1;15.4;2;0;2
ruan;MTL;25;24;2006;2;2;7;0.09;1;0;0;2;10;2;20;20;3;0;8
julian-hall;RBNY;11;0;151;2;2;2;1.19;1;0;0;0.75;5;2;40;40;0;0;3
nathan-harriel;PHI;29;27;2375;2;4;13;0.08;17;0;0;3.85;35;9;25.7;5.7;1;0;5
brendan-hines-ike;ATX;28;25;2222;2;0;6;0.08;4;0;0;1.26;10;3;30;20;0;0;3
marino-hinestroza;CLB;16;4;346;2;4;4;0.52;2;0;0;1.78;10;3;30;20;1;0;2
dominik-iankov;MTL;21;6;692;2;4;12;0.26;0;0;0;1.8;16;7;43.8;12.5;2;4;4
sebastien-ibeagha;DAL;31;31;2790;2;1;2;0.06;7;0;0;1.19;10;3;30;20;1;0;3
asier-illarramendi;DAL;25;22;1953;2;7;21;0.09;1;0;0;1.53;29;3;10.3;6.9;0;3;8
aziel-jackson;CLB;9;5;358;2;5;8;0.5;2;0;0;1.5;15;5;33.3;13.3;2;1;6
dejuan-jones;CLB;10;4;407;2;1;3;0.44;0;0;0;0.42;4;2;50;50;1;0;2
mateusz-klich;DC;31;31;2667;2;5;24;0.07;0;2;2;3.05;29;17;58.6;6.9;3;143;15
georgios-koutsias;CHI;30;5;794;2;9;12;0.23;4;0;0;4.31;25;13;52;8;3;1;3
damir-kreilach;VAN;17;6;465;2;3;3;0.39;7;0;0;3.03;13;8;61.5;15.4;1;0;2
theodore-ku-dipietro;DC;29;24;1876;2;16;21;0.1;2;0;0;6.14;39;11;28.2;5.1;9;0;6
mathias-laborda;VAN;26;23;1956;2;1;10;0.09;9;0;0;2.28;20;4;20;10;2;0;2
sebastian-lletget;DAL;31;20;1862;2;4;11;0.1;3;0;0;2.96;18;9;50;11.1;3;60;10
matty-longstaff;TOR;32;25;2227;2;3;16;0.08;3;0;0;2.78;22;8;36.4;9.1;2;15;4
jack-lynn;ORL;11;2;253;2;1;2;0.71;3;0;0;2.21;6;3;50;33.3;6;0;2
steven-moreira;CLB;27;23;2104;2;0;6;0.09;1;0;0;1.26;7;4;57.1;28.6;1;1;6
aidan-morris;CLB;16;15;1274;2;1;19;0.14;0;0;0;1.97;20;6;30;10;1;1;8
braian-ojeda;RSL;33;31;2694;2;7;25;0.07;5;0;0;2.78;37;13;35.1;5.4;0;0;8
kwadwo-opoku;MTL;16;6;515;2;11;1;0.35;2;0;0;1.74;14;7;50;14.3;1;2;5
